id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
30,aldactone tablet,Aldobloc 25mg Tablet,Spirix 25mg Tablet,Spiromax 25mg Tablet,Spirolact 25mg Tablet,Spironot 25 Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics
98,aldactone 50 tablet,Spilactone 50mg Tablet,Spirix 50 Tablet,Spirolact 50mg Tablet,Edeflow 50 Tablet,Aldotone 50mg Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics
108,avamys nasal spray,,,,,,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
125,avanair 100 tablet,Avanext 100mg Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose),Nasopharyngitis (inflammation of the throat and nasal passages),Back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Erectile dysfunction,,,,,Pyrimidinecarboxamides,No,SEX STIMULANTS REJUVENATORS,
127,aquazide 12.5 tablet,DavaIndia Hydrochlorothiazide 12.5mg Tablet,Xenia 12.5mg Tablet,Thiazide 12.5mg Tablet,Bpzide 12.5mg Tablet,Dizide 12.5mg Tablet,Headache,Nausea,Altered blood lipid level,Weakness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Benzothiadiazines (Thiazides),No,CARDIAC,Low-ceiling Diuretics (Inhibitors of Na+Cl symport)
161,allegra nasal spray,Isomet-F Nasal Spray,Sinospray-FT Nasal Spray,Spiroflut Nasal Spray,Spiroflut Nasal Spray,Ryno Nasal Spray,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
169,aquaviron injection 1ml,,,,,,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens
173,assurans tablet,Sildaflow 20mg Tablet,Pulmoday 20mg Tablet,PAH 20 Tablet,Esylnafil 20mg Tablet,Penegra Pah Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
226,alivher tablet,Silagra 25 Tablet,Optithik 25mg Tablet,Shefill Tablet,Ethic 25mg Tablet,Endowal-S Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
254,atonide gel,Proceroid D Gel,Dadgel 0.05% Gel,,,,"Application site reactions (burning, irritation, itching and redness)",Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin conditions with inflammation & itching,,,,,Glucocorticoids,No,DERMA,Glucocorticoids
